source_image_name,source_image_relative_path,source_image_absolute_path,model,runtime_seconds,output_json,scene_category,traffic_sign_visible,traffic_sign_condition_relevant,arrow_or_lane_direction_sign_visible,lane_detection_overlay_visible,gps_risk_infrastructure_visible,recommended_tasks,priority,resource_strategy,trigger_reason,confidence,error,road_type,visible_traffic_signs,visible_road_users,visible_infrastructure,image_quality_issues
kism-samsung-ennoo-probe-03-20241126-1207_1732621868678_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-03-20241126-1207_1732621868678_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-03-20241126-1207_1732621868678_0.png,gemma4:e2b-it-q4_K_M,93.522,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-03-20241126-1207_1732621868678_0.png.json,unclear,False,False,True,False,False,task2_lane_semantics,medium,run_single_task,"Lane direction arrows are visible, suggesting lane guidance information.",0.95,,unclear,lane direction arrows,none,road surface,none
kism-samsung-ennoo-probe-03-20241127-1001_1732706581476_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-03-20241127-1001_1732706581476_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-03-20241127-1001_1732706581476_0.png,gemma4:e2b-it-q4_K_M,54.997,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-03-20241127-1001_1732706581476_0.png.json,unclear,True,False,True,False,False,task2_lane_semantics,medium,run_single_task,"Lane direction arrows are clearly visible, suggesting lane guidance information.",0.95,,unknown,directional arrow,none,none,none
kism-samsung-ennoo-probe-03-20250321-1400_1742563832542_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-03-20250321-1400_1742563832542_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-03-20250321-1400_1742563832542_0.png,gemma4:e2b-it-q4_K_M,63.514,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-03-20250321-1400_1742563832542_0.png.json,urban_road,False,False,True,False,False,task2_lane_semantics,medium,run_single_task,"Lane direction arrows are clearly visible, suggesting lane guidance information.",1.0,,road,lane direction,none,road,none
kism-samsung-ennoo-probe-04-20240829-0556_1724935108833_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-04-20240829-0556_1724935108833_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-04-20240829-0556_1724935108833_0.png,gemma4:e2b-it-q4_K_M,41.172,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-04-20240829-0556_1724935108833_0.png.json,unclear,False,False,False,False,False,skip,low,skip,Image contains directional arrows but no standard traffic signs or lane guidance signs for specific downstream tasks.,1.0,,unclear,,,,
kism-samsung-ennoo-probe-05-20250401-1148_1743503632655_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-05-20250401-1148_1743503632655_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-05-20250401-1148_1743503632655_0.png,gemma4:e2b-it-q4_K_M,60.609,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-05-20250401-1148_1743503632655_0.png.json,urban_road,True,False,True,False,False,task2_lane_semantics,medium,run_single_task,"Lane direction arrows are clearly visible, triggering lane semantics analysis.",1.0,,road,lane direction arrows,none,road,none
kism-samsung-ennoo-probe-06-20240505-0953_1714913783240_0.png,Additional_Road_Course\kism-samsung-ennoo-probe-06-20240505-0953_1714913783240_0.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Additional_Road_Course\kism-samsung-ennoo-probe-06-20240505-0953_1714913783240_0.png,gemma4:e2b-it-q4_K_M,47.031,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Additional_Road_Course__kism-samsung-ennoo-probe-06-20240505-0953_1714913783240_0.png.json,urban_road,False,False,True,False,False,task2_lane_semantics,medium,run_single_task,"Lane direction arrow sign is visible, suggesting lane guidance information.",0.95,,road,none,none,none,low resolution
2018-05-30_08-12-16_911.jpg,Bilder mit Schildern 1\2018-05-30_08-12-16_911.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_08-12-16_911.jpg,gemma4:e2b-it-q4_K_M,49.612,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_08-12-16_911.jpg.json,highway,True,False,False,False,False,task1_sign_condition,medium,run_single_task,"A clear speed limit sign is visible, triggering sign analysis.",1.0,,highway,speed limit 30,vehicles,guardrail,
2018-05-30_08-21-27_017.jpg,Bilder mit Schildern 1\2018-05-30_08-21-27_017.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_08-21-27_017.jpg,gemma4:e2b-it-q4_K_M,37.021,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_08-21-27_017.jpg.json,urban_road,True,False,False,False,False,task1_sign_condition,medium,run_single_task,A regulatory traffic sign is visible.,0.95,,asphalt road,regulatory sign,vehicles,roadside vegetation,
2018-05-30_08-28-28_936.jpg,Bilder mit Schildern 1\2018-05-30_08-28-28_936.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_08-28-28_936.jpg,gemma4:e2b-it-q4_K_M,50.174,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_08-28-28_936.jpg.json,urban_road,False,False,False,False,False,skip,low,skip,No relevant traffic signs or lane guidance visible.,1.0,,street,none,pedestrian,building,none
2018-05-30_08-36-33_930.jpg,Bilder mit Schildern 1\2018-05-30_08-36-33_930.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_08-36-33_930.jpg,gemma4:e2b-it-q4_K_M,52.219,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_08-36-33_930.jpg.json,urban_road,False,False,False,False,False,skip,low,skip,No traffic signs or lane guidance visible; scene is primarily a street view.,1.0,,street,none,vehicles,sidewalk; street_furniture,none
2018-05-30_08-37-23_948.jpg,Bilder mit Schildern 1\2018-05-30_08-37-23_948.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_08-37-23_948.jpg,gemma4:e2b-it-q4_K_M,65.8,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_08-37-23_948.jpg.json,urban_road,True,False,False,False,False,task1_sign_condition,medium,run_single_task,A regulatory traffic sign is visible.,0.95,,street,No entry/No stopping sign (red circle with white bar),vehicles,buildings,
2018-05-30_10-22-12_926.jpg,Bilder mit Schildern 1\2018-05-30_10-22-12_926.jpg,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\task5_test_12_20260517_164808\Bilder mit Schildern 1\2018-05-30_10-22-12_926.jpg,gemma4:e2b-it-q4_K_M,61.303,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task5\runs\20260517_164839_685822\json\Bilder_mit_Schildern_1__2018-05-30_10-22-12_926.jpg.json,urban_road,False,False,False,False,False,skip,low,skip,No relevant traffic signs or lane markings were clearly visible for specific downstream tasks.,1.0,,street,none,vehicles,trees; buildings,none
