source_image_name,source_image_relative_path,source_image_absolute_path,model,runtime_seconds,output_json,readability,explanation,error,sign_key,reference_image_name,reference_image_absolute_path
driveRight_clean_10.png,driveRight_clean_10.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_10.png,gemma4:e2b-it-q4_K_M,4.209,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_clean_10.png.json,readable,"The sign is clear, fully visible, and in good condition.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_clean_159 - 副本.png,driveRight_clean_159 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_159 - 副本.png,gemma4:e2b-it-q4_K_M,2.028,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_clean_159_-_副本.png.json,readable,"The sign is clear, fully visible, and in good condition.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_clean_172.png,driveRight_clean_172.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_172.png,gemma4:e2b-it-q4_K_M,3.955,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_clean_172.png.json,readable,"The sign is clear, fully visible, and easily recognizable as a left turn arrow.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_clean_2.png,driveRight_clean_2.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_2.png,gemma4:e2b-it-q4_K_M,4.07,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_clean_2.png.json,readable,"The sign is clear, fully visible, and easily recognizable as a left turn arrow.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_clean_6.png,driveRight_clean_6.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_6.png,gemma4:e2b-it-q4_K_M,3.524,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_clean_6.png.json,readable,"The sign is clear, fully visible, and easily recognizable as a directional arrow.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_impurity_13 - 副本.png,driveRight_impurity_13 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_13 - 副本.png,gemma4:e2b-it-q4_K_M,3.934,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_impurity_13_-_副本.png.json,readable,"The sign is clear and fully visible, indicating a left turn.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_impurity_164 - 副本.png,driveRight_impurity_164 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_164 - 副本.png,gemma4:e2b-it-q4_K_M,4.772,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_impurity_164_-_副本.png.json,readable,The sign is clearly visible and fully recognizable.,,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_impurity_21 - 副本.png,driveRight_impurity_21 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_21 - 副本.png,gemma4:e2b-it-q4_K_M,4.064,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_impurity_21_-_副本.png.json,readable,The sign is clearly visible and fully recognizable as a left-turn arrow.,,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_impurity_42 - 副本.png,driveRight_impurity_42 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_42 - 副本.png,gemma4:e2b-it-q4_K_M,3.997,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_impurity_42_-_副本.png.json,readable,The sign is clearly visible and fully legible.,,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
driveRight_impurity_52 - 副本.png,driveRight_impurity_52 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_52 - 副本.png,gemma4:e2b-it-q4_K_M,2.835,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\drive right\drive_right__driveRight_impurity_52_-_副本.png.json,readable,"The sign is clear, fully colored, and easily recognizable as a directional arrow.",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png
