source_image_name,source_image_relative_path,source_image_absolute_path,model,runtime_seconds,output_json,sign_type,surface_condition,dirty_count,overall_readability,evidence,dirty_areas,error,sign_key,reference_image_name,reference_image_absolute_path,warning
driveRight_clean_10.png,driveRight_clean_10.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_10.png,gemma4:e2b-it-q4_K_M,9.808,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_clean_10.png.json,drive_right,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""top_right"", ""type"": ""damage""}, {""location"": ""bottom_right"", ""type"": ""damage""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_clean_159 - 副本.png,driveRight_clean_159 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_159 - 副本.png,gemma4:e2b-it-q4_K_M,9.146,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_clean_159_-_副本.png.json,drive_right,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""bottom_right"", ""type"": ""damage""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_clean_172.png,driveRight_clean_172.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_172.png,gemma4:e2b-it-q4_K_M,9.593,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_clean_172.png.json,drive_right,not_clean,1,partially_affected,The surface of Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""discoloration""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_clean_2.png,driveRight_clean_2.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_2.png,gemma4:e2b-it-q4_K_M,7.106,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_clean_2.png.json,drive_right,clean,0,not_affected,Image B appears to be a clean version of the reference Image A.,[],,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_clean_6.png,driveRight_clean_6.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_clean_6.png,gemma4:e2b-it-q4_K_M,6.684,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_clean_6.png.json,drive_right,clean,0,not_affected,Image B is a clean version of the sign type shown in Image A.,[],,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_impurity_13 - 副本.png,driveRight_impurity_13 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_13 - 副本.png,gemma4:e2b-it-q4_K_M,8.165,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_impurity_13_-_副本.png.json,drive_right,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""bottom_left"", ""type"": ""paint_loss""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_impurity_164 - 副本.png,driveRight_impurity_164 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_164 - 副本.png,gemma4:e2b-it-q4_K_M,6.995,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_impurity_164_-_副本.png.json,drive_right,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""bottom_left"", ""type"": ""graffiti""}, {""location"": ""bottom_right"", ""type"": ""contamination""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_impurity_21 - 副本.png,driveRight_impurity_21 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_21 - 副本.png,gemma4:e2b-it-q4_K_M,9.449,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_impurity_21_-_副本.png.json,drive_right,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""top_right"", ""type"": ""discoloration""}, {""location"": ""bottom_right"", ""type"": ""paint_loss""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_impurity_42 - 副本.png,driveRight_impurity_42 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_42 - 副本.png,gemma4:e2b-it-q4_K_M,9.439,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_impurity_42_-_副本.png.json,drive_right,not_clean,1,partially_affected,Image B shows significant surface anomalies compared to the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
driveRight_impurity_52 - 副本.png,driveRight_impurity_52 - 副本.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\31.5.2026\driveRight_impurity_52 - 副本.png,gemma4:e2b-it-q4_K_M,7.088,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\drive right\drive_right__driveRight_impurity_52_-_副本.png.json,drive_right,not_clean,1,partially_affected,"The surface of Image B shows visible text overlaying the sign, which is absent in the clean reference Image A.","[{""location"": ""center"", ""type"": ""sticker""}]",,drive_right,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\DRIVE_RIGHT\standard.png,
